# id	canonical	group	cie10_pipe	aliases_pipe
anorexia_bulimia	Anorexia y Bulimia	nutricion		Anorexia y Bulimia
desnutricion_leve	Desnutrición leve	nutricion		Desnutrición leve
desnutricion_moderada	Desnutrición moderada	nutricion		Desnutrición moderada
obesidad	Obesidad	nutricion		Obesidad
depresion	Depresión	neurologicas_salud_mental		Depresión
alzheimer	Enfermedad de Alzheimer	neurologicas_salud_mental		Enfermedad de Alzheimer
parkinson	Enfermedad de Parkinson	neurologicas_salud_mental		Enfermedad de Parkinson
accidentes_transporte_motor	Accidentes de transporte en vehículos con motor	accidentes	V01-V99	Accidentes de transporte en vehículos con motor|Accidentes de transporte en vehiculos|Accidentes de transporte en vehí.|Accidentes de transporte en Herida vehículos con motor|vehículos con motor V20-V29 V40-V79
herida_arma_fuego_punzocortantes	Herida por Arma de Fuego y Punzocortantes	accidentes	W32-W34|X93-X95|X99	Herida por Arma de Fuego y Punzocortantes|Herida por arma de fuego y punzoc.|Herida por arma de fuego y punzocortante|Herida por arma de fuego y punzocortantes
mordedura_serpiente	Mordedura por serpiente	accidentes	X20|W59	Mordedura por serpiente|Mordeduras por serpiente
mordeduras_otros_mamiferos	Mordeduras por otros mamíferos	accidentes	W55	Mordeduras por otros mamíferos|Mordeduras por otros mamiferos|Mordeduras otros mamiferos
mordeduras_perro	Mordeduras por perro	accidentes	W54	Mordeduras por perro|Mordedura por perro|Mordeduras perro
violencia_intrafamiliar	Violencia intrafamiliar	accidentes		Violencia intrafamiliar
quemaduras	Quemaduras	accidentes	T20-T32	Quemaduras
ulceras_gastritis_duodenitis	Úlceras, gastritis y duodenitis	no_transmisibles	K25-K29	Úlceras, gastritis y duodenitis|Ulceras gastritis y duodenitis|Gastritis y duodenitis
anencefalia	Anencefalia	defectos_nacer	Q00	Anencefalia
encefalocele	Encefalocele	defectos_nacer	Q01	Encefalocele
espina_bifida	Espina bífida	defectos_nacer	Q05	Espina bífida|Espina bifida
